"No.","Time","Source","Destination","Protocol","Length","Info"
"202","11.116640","2.4.2","host","USB","36","URB_INTERRUPT in"
"203","11.116659","host","2.4.2","USB","27","URB_INTERRUPT in"
"204","11.131650","2.4.2","host","USB","36","URB_INTERRUPT in"
"205","11.131670","host","2.4.2","USB","27","URB_INTERRUPT in"
"206","11.139645","2.4.2","host","USB","36","URB_INTERRUPT in"
"207","11.139663","host","2.4.2","USB","27","URB_INTERRUPT in"
"208","11.146645","2.4.2","host","USB","36","URB_INTERRUPT in"
"209","11.146663","host","2.4.2","USB","27","URB_INTERRUPT in"
"210","11.154643","2.4.2","host","USB","36","URB_INTERRUPT in"
"211","11.154662","host","2.4.2","USB","27","URB_INTERRUPT in"
"212","11.161641","2.4.2","host","USB","36","URB_INTERRUPT in"
"213","11.161657","host","2.4.2","USB","27","URB_INTERRUPT in"
"214","11.169641","2.4.2","host","USB","36","URB_INTERRUPT in"
"215","11.169661","host","2.4.2","USB","27","URB_INTERRUPT in"
"216","11.176645","2.4.2","host","USB","36","URB_INTERRUPT in"
"217","11.176666","host","2.4.2","USB","27","URB_INTERRUPT in"
"218","11.184640","2.4.2","host","USB","36","URB_INTERRUPT in"
"219","11.184656","host","2.4.2","USB","27","URB_INTERRUPT in"
"220","11.191640","2.4.2","host","USB","36","URB_INTERRUPT in"
"221","11.191654","host","2.4.2","USB","27","URB_INTERRUPT in"
"222","11.199639","2.4.2","host","USB","36","URB_INTERRUPT in"
"223","11.199658","host","2.4.2","USB","27","URB_INTERRUPT in"
"224","11.206642","2.4.2","host","USB","36","URB_INTERRUPT in"
"225","11.206657","host","2.4.2","USB","27","URB_INTERRUPT in"
"226","11.221645","2.4.2","host","USB","36","URB_INTERRUPT in"
"227","11.221669","host","2.4.2","USB","27","URB_INTERRUPT in"
"228","11.229643","2.4.2","host","USB","36","URB_INTERRUPT in"
"229","11.229660","host","2.4.2","USB","27","URB_INTERRUPT in"
"230","11.236642","2.4.2","host","USB","36","URB_INTERRUPT in"
"231","11.236661","host","2.4.2","USB","27","URB_INTERRUPT in"
"232","11.244641","2.4.2","host","USB","36","URB_INTERRUPT in"
"233","11.244660","host","2.4.2","USB","27","URB_INTERRUPT in"
"234","11.251643","2.4.2","host","USB","36","URB_INTERRUPT in"
"235","11.251662","host","2.4.2","USB","27","URB_INTERRUPT in"
"236","11.259639","2.4.2","host","USB","36","URB_INTERRUPT in"
"237","11.259658","host","2.4.2","USB","27","URB_INTERRUPT in"
"238","11.266641","2.4.2","host","USB","36","URB_INTERRUPT in"
"239","11.266661","host","2.4.2","USB","27","URB_INTERRUPT in"
"240","11.274642","2.4.2","host","USB","36","URB_INTERRUPT in"
"241","11.274661","host","2.4.2","USB","27","URB_INTERRUPT in"
"242","11.281642","2.4.2","host","USB","36","URB_INTERRUPT in"
"243","11.281661","host","2.4.2","USB","27","URB_INTERRUPT in"
"244","11.289642","2.4.2","host","USB","36","URB_INTERRUPT in"
"245","11.289662","host","2.4.2","USB","27","URB_INTERRUPT in"
"246","11.296640","2.4.2","host","USB","36","URB_INTERRUPT in"
"247","11.296660","host","2.4.2","USB","27","URB_INTERRUPT in"
"248","11.304640","2.4.2","host","USB","36","URB_INTERRUPT in"
"249","11.304659","host","2.4.2","USB","27","URB_INTERRUPT in"
"250","11.311643","2.4.2","host","USB","36","URB_INTERRUPT in"
"251","11.311663","host","2.4.2","USB","27","URB_INTERRUPT in"
"252","11.319641","2.4.2","host","USB","36","URB_INTERRUPT in"
"253","11.319662","host","2.4.2","USB","27","URB_INTERRUPT in"
"254","11.326640","2.4.2","host","USB","36","URB_INTERRUPT in"
"255","11.326661","host","2.4.2","USB","27","URB_INTERRUPT in"
"256","11.334639","2.4.2","host","USB","36","URB_INTERRUPT in"
"257","11.334656","host","2.4.2","USB","27","URB_INTERRUPT in"
"258","11.341638","2.4.2","host","USB","36","URB_INTERRUPT in"
"259","11.341654","host","2.4.2","USB","27","URB_INTERRUPT in"
"260","11.349642","2.4.2","host","USB","36","URB_INTERRUPT in"
"261","11.349660","host","2.4.2","USB","27","URB_INTERRUPT in"
"262","11.356639","2.4.2","host","USB","36","URB_INTERRUPT in"
"263","11.356658","host","2.4.2","USB","27","URB_INTERRUPT in"
"264","11.364641","2.4.2","host","USB","36","URB_INTERRUPT in"
"265","11.364660","host","2.4.2","USB","27","URB_INTERRUPT in"
"266","11.371638","2.4.2","host","USB","36","URB_INTERRUPT in"
